season,week,date,espn_id,name,pos,team,espn_pts,sleeper_pts,fp_pts,blend,p_zero,implied
2026,1,2026-09-14,4374302,Amon-Ra St. Brown,WR,DET,18.82,20.2,19.9,19.51,0.02,
2026,1,2026-09-14,4038941,Justin Herbert,QB,LAC,19.25,17.47,19.3,18.36,0.02,
2026,1,2026-09-14,4890973,Ashton Jeanty,RB,LV,18.0,15.97,15.1,16.98,0.02,
2026,1,2026-09-14,4239996,Travis Etienne Jr.,RB,NO,15.14,15.92,14.8,15.53,0.02,
2026,1,2026-09-14,4361370,Chris Olave,WR,NO,14.78,16.13,16.0,15.45,0.02,
2026,1,2026-09-14,4882093,Bhayshul Tuten,RB,JAX,12.0,10.62,12.2,11.31,0.02,
2026,1,2026-09-14,4569587,Wan'Dale Robinson,WR,TEN,10.39,11.2,10.9,10.79,0.02,
2026,1,2026-09-14,4695883,Jalen Coker,WR,CAR,9.22,11.91,10.0,10.57,0.02,
2026,1,2026-09-14,3040151,George Kittle,TE,SF,8.38,10.09,8.9,9.23,0.02,
2026,1,2026-09-14,4608686,Kyle Monangai,RB,CHI,10.29,7.27,7.7,8.78,0.02,
2026,1,2026-09-14,4429059,Woody Marks,RB,HOU,8.29,8.84,7.6,8.56,0.02,
2026,1,2026-09-14,3051909,Daniel Carlson,K,NO,7.7,6.27,6.9,6.98,0.02,
2026,1,2026-09-14,-16005,Browns D/ST,D/ST,CLE,6.36,5.08,6.0,5.72,0.02,
2026,1,2026-09-14,4432710,TreVeyon Henderson,RB,NE,0.0,,,0.0,1.0,
2026,1,2026-09-14,4430834,Jalen McMillan,WR,TB,0.0,,,0.0,1.0,
2026,1,2026-09-14,3054850,Alvin Kamara,RB,NO,0.0,,,0.0,1.0,
2026,1,2026-09-14,4689114,Jaxson Dart,QB,NYG,18.52,18.86,17.2,18.69,0.02,
2026,1,2026-09-14,4242335,Jonathan Taylor,RB,IND,17.75,18.97,18.1,18.36,0.02,
2026,1,2026-09-14,4431452,Drake Maye,QB,NE,16.25,19.67,17.6,17.96,0.02,
2026,1,2026-09-14,4426348,Jayden Daniels,QB,WSH,16.84,17.13,17.1,16.98,0.02,
2026,1,2026-09-14,4685382,Omarion Hampton,RB,LAC,17.58,16.0,17.2,16.79,0.02,
2026,1,2026-09-14,4685472,Tetairoa McMillan,WR,CAR,14.78,14.9,14.4,14.84,0.02,
2026,1,2026-09-14,4361307,Trey McBride,TE,ARI,14.34,14.25,15.0,14.29,0.02,
2026,1,2026-09-14,4430737,Kyren Williams,RB,LAR,13.67,14.59,14.6,14.13,0.02,
2026,1,2026-09-14,4430027,Sam LaPorta,TE,DET,10.95,13.77,12.0,12.36,0.02,
2026,1,2026-09-14,4432620,Parker Washington,WR,JAX,11.34,12.18,11.9,11.76,0.02,
2026,1,2026-09-14,16737,Mike Evans,WR,SF,10.65,12.77,11.4,11.71,0.02,
2026,1,2026-09-14,4678008,Jonathon Brooks,RB,CAR,10.71,9.92,9.3,10.32,0.02,
2026,1,2026-09-14,4373678,Khalil Shakir,WR,BUF,9.47,10.3,9.4,9.89,0.02,
2026,1,2026-09-14,4362081,Cameron Dicker,K,LAC,10.26,7.11,9.0,8.69,0.02,
2026,1,2026-09-14,-16021,Eagles D/ST,D/ST,PHI,6.14,8.73,7.7,7.44,0.02,
2026,1,2026-09-14,4710714,De'Zhaun Stribling,WR,SF,9.59,6.88,9.2,8.23,0.8,
2026,1,2026-09-14,4047365,Josh Jacobs,RB,GB,0.0,,0.0,0.0,1.0,
2026,1,2026-09-14,4431611,Caleb Williams,QB,CHI,16.39,18.33,18.3,17.36,0.02,
2026,1,2026-09-14,4035538,David Montgomery,RB,HOU,12.67,15.21,12.7,13.94,0.02,
2026,1,2026-09-14,4428331,Rashee Rice,WR,KC,14.36,12.81,14.2,13.59,0.02,23.0
2026,1,2026-09-14,4426388,Jameson Williams,WR,DET,12.12,14.15,13.2,13.13,0.02,
2026,1,2026-09-14,4685278,Luther Burden III,WR,CHI,12.0,13.12,12.8,12.56,0.02,
2026,1,2026-09-14,4685702,Quinshon Judkins,RB,CLE,13.15,10.85,12.3,12.0,0.02,
2026,1,2026-09-14,3916148,Tony Pollard,RB,TEN,11.53,11.37,12.0,11.45,0.02,
2026,1,2026-09-14,3116165,Chris Godwin Jr.,WR,TB,10.26,11.78,11.7,11.02,0.02,
2026,1,2026-09-14,3929645,Juwan Johnson,TE,NO,8.83,10.39,10.5,9.61,0.02,
2026,1,2026-09-14,4034949,Eddy Pineiro,K,SF,9.09,6.34,7.7,7.71,0.02,
2026,1,2026-09-14,-16016,Vikings D/ST,D/ST,MIN,4.43,7.21,6.7,5.82,0.02,
2026,1,2026-09-14,4432665,Brock Bowers,TE,LV,0.0,,,0.0,1.0,
2026,1,2026-09-14,3917315,Kyler Murray,QB,MIN,16.4,18.05,16.7,17.23,1.0,
